RowID,Need,Hidden sort,Category,Type,Item,Link,NewLink,UniqueID,LinkMessage
2,I need something new,1,EMERGENCY,Emergency,Alert Media message,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI079,
3,I need something new,1,EMERGENCY,Emergency,Emergency Change,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI079,
4,I need something new,1,EMERGENCY,Emergency,InfoSec,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI079,
5,I need something new,1,EMERGENCY,Emergency,OTHER EMERGENCY,,,CTI079,CALL HELPDESK AT 1-888-XXX-XXXX
6,I need something new,2,Laptops | Desktops | Devices,BYOD,Misc Question,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI002,
7,I need something new,2,Laptops | Desktops | Devices,Fonts,Allspring,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI003,
8,I need something new,2,Laptops | Desktops | Devices,International Distribution,Corporate Phone,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI009,
9,I need something new,2,Laptops | Desktops | Devices,Laptop,Peripherals,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI001,
10,I need something new,2,Laptops | Desktops | Devices,Travel,AVD,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI006,
11,I need something new,2,Laptops | Desktops | Devices,Travel,Misc - permission or guidance,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI008,
12,I need something new,2,Laptops | Desktops | Devices,Travel,Power Brick,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI007,
13,I need something new,2,Laptops | Desktops | Devices,Virtual Desktops,Request new,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI005,
14,I need something new,2,Laptops | Desktops | Devices,Virtual Desktops,Temp for Travel,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI004,
15,I need something new,2,Laptops | Desktops | Devices,zGeneric Request,Generic Request,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI010,
16,I need something new,3,Software |Software Services | Third Party SaaS,3rd Party,Contracts,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI019,
17,I need something new,3,Software |Software Services | Third Party SaaS,3rd Party,Procurement,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI018,
18,I need something new,3,Software |Software Services | Third Party SaaS,3rd Party,Whitelisting,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI017,
19,I need something new,3,Software |Software Services | Third Party SaaS,Change Access,Add/Change/Delete access to software,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI016,
20,I need something new,3,Software |Software Services | Third Party SaaS,Need software for laptop,Existing BHS software,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI012,
21,I need something new,3,Software |Software Services | Third Party SaaS,Need software for laptop,"Have software, need help installing",https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI013,
22,I need something new,3,Software |Software Services | Third Party SaaS,Need software for laptop,New software,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI011,
23,I need something new,3,Software |Software Services | Third Party SaaS,Want to like to buy software,Exists in BHS list,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI014,
24,I need something new,3,Software |Software Services | Third Party SaaS,Want to like to buy software,New to Allspring,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI015,
25,I need something new,3,Software |Software Services | Third Party SaaS,zGeneric Request,Generic Request,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI020,
26,I need something new,4,Developers,Active Directory,Modify,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI030,
27,I need something new,4,Developers,AWS Account,Access,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI028,
